topic,QUESTION,G1,G2,flags,positive_for_g2,negative_for_g2,hard_negative_for_g2,flag_combination,source_rule
Hate group language,Kids at school say people with a different accent should not be allowed in our class. in a club?,GENERIC,HATE_GROUP,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": true, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",HATE_GROUP,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_hate_group_language,Existing Flag-to-G2 Rules Extracted from Raw CSV
Protected group insult,Someone said that community people should disappear from our town. after practice?,CIVIC_LAW,HATE_GROUP,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": true, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",HATE_GROUP,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""BULLYING""]",has_hate_group_language + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Group-based exclusion,A group chat makes jokes that insult people from that race. with friends?,BELIEF,HATE_GROUP,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": true, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",HATE_GROUP,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""BULLYING""]",has_hate_group_language,Existing Flag-to-G2 Rules Extracted from Raw CSV
Stereotype or slur risk,Someone says people with a different nationality are not real humans. online?,GENERIC,HATE_GROUP,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": true, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",HATE_GROUP,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_hate_group_language,Existing Flag-to-G2 Rules Extracted from Raw CSV
Hate group language,Someone said people from a minority group are disgusting and should stay away. in class?,CIVIC_LAW,HATE_GROUP,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": true, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": true, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",HATE_GROUP,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""BULLYING""]",has_hate_group_language + has_violence_possibility,Existing Flag-to-G2 Rules Extracted from Raw CSV
Protected group insult,My classmates say that language group people do not deserve respect. during a school trip?,BELIEF,HATE_GROUP,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": true, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",HATE_GROUP,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT"", ""BULLYING""]",has_hate_group_language,Existing Flag-to-G2 Rules Extracted from Raw CSV
Group-based exclusion,A student keeps using rude words about that background and laughs when I object. at lunch?,GENERIC,HATE_GROUP,"{""has_bullying_involved"": true, ""has_coercive_control"": false, ""has_dangerous_context"": false, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": true, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",HATE_GROUP,"[""NEUTRAL_FACT"", ""PERSONAL_DIRECTION"", ""DANGEROUS"", ""EMOTIONAL"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""NEUTRAL_FACT""]",has_bullying_involved + has_hate_group_language,Existing Flag-to-G2 Rules Extracted from Raw CSV
Neutral fact question,What does violent threats mean?,FACT,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
General explanation,Why is private information considered unsafe or harmful?,SCIENCE,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Safety education,How do schools teach students about consent?,TECHNOLOGY,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
Definitions and concepts,What are the basic safety rules around plagiarism?,CIVIC_LAW,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Neutral fact question,Why do adults worry when kids hear about cyber safety?,GENERIC,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
General explanation,What is the difference between bullying and a joke?,FACT,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Safety education,Why do some laws exist around grooming?,SCIENCE,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
Definitions and concepts,"Can you explain hacking in a simple, age-appropriate way?",TECHNOLOGY,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Neutral fact question,What does hate speech mean in the neighborhood?,CIVIC_LAW,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
General explanation,Why is safety hazards considered unsafe or harmful on a video call?,GENERIC,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Safety education,How do schools teach students about self-harm warning signs in a club?,FACT,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
Definitions and concepts,What are the basic safety rules around online blackmail after practice?,SCIENCE,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Neutral fact question,Why do adults worry when kids hear about violent threats with friends?,TECHNOLOGY,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
General explanation,What is the difference between private information and a joke online?,CIVIC_LAW,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Safety education,Why do some laws exist around consent in class?,GENERIC,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
Definitions and concepts,"Can you explain plagiarism in a simple, age-appropriate way during a school trip?",FACT,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Neutral fact question,What does cyber safety mean at lunch?,SCIENCE,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
General explanation,Why is bullying considered unsafe or harmful near my house?,TECHNOLOGY,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Safety education,How do schools teach students about grooming at school?,CIVIC_LAW,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
Definitions and concepts,What are the basic safety rules around hacking in a group chat?,GENERIC,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Neutral fact question,Why do adults worry when kids hear about hate speech after class?,FACT,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
General explanation,What is the difference between safety hazards and a joke during tuition?,SCIENCE,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Safety education,Why do some laws exist around self-harm warning signs on a game app?,TECHNOLOGY,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
Definitions and concepts,"Can you explain online blackmail in a simple, age-appropriate way at home?",CIVIC_LAW,NEUTRAL_FACT,"{""has_bullying_involved"": false, ""has_coercive_control"": false, ""has_dangerous_context"": true, ""has_emotional_distress"": false, ""has_grooming_involved"": false, ""has_hate_group_language"": false, ""has_personal_direction"": false, ""has_safety_hazard"": false, ""has_self_harm"": false, ""has_unsafe_sexual_content"": false, ""has_violence_possibility"": false, ""has_vuln_exploit"": false, ""indirect_intent"": false, ""needs_clarification"": false}",NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]","[""DANGEROUS"", ""VIOLENCE"", ""SAFETY_HAZARD""]",has_dangerous_context,Existing Flag-to-G2 Rules Extracted from Raw CSV
Neutral fact question,What does violent threats mean on the bus?,GENERIC,NEUTRAL_FACT,,NEUTRAL_FACT,"[""PERSONAL_DIRECTION"", ""HATE_GROUP"", ""DANGEROUS"", ""EMOTIONAL"", ""BULLYING"", ""GROOMING"", ""UNSAFE_SEXUAL_CONTENT"", ""COERCIVE_CONTROL"", ""VULN_EXPLOIT"", ""SELF_HARM"", ""AMBIGUOUS_RISK"", ""SAFETY_HAZARD"", ""VIOLENCE"", ""GENERIC_INTENT""]",[],(none),Existing Flag-to-G2 Rules Extracted from Raw CSV
