age,characteristics,personality_trait,adjectives,interest
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Healthy', 'Health-conscious']","['Dress-up games', 'Simple board games']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Dissimulation,"['Insincere', 'Manipulative']","['Strategy games', 'Puzzles']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Dissimulation,"['Insincere', 'Deceptive']","['Exploring different cultures', 'Advanced science experiments']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Defensiveness,"['Closed-minded', 'Argumentative']","['Drama or theater', 'Gardening']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Social Skills Deficit,"['Inattentive', 'Awkward']","['Dress-up games', 'Collecting leaves or rocks']"
9,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Family Dysfunction,"['Discordant', 'Unstable']","['Reading books', 'Photography']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Focused', 'Energetic']","['Dance', 'Simple board games']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Adaptive', 'Flexible']","['Water play', 'Playing pretend']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Strategic', 'Diplomatic']","['Philosophy', 'Leadership roles']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Family Dysfunction,"['Discordant', 'Unstable']","['Advanced strategy games', 'Sports']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Defensiveness,"['Argumentative', 'Closed-minded']","['Counting games', 'Building forts']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Assertive', 'Self-assured']","['Community service', 'Advanced science experiments']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Reserved', 'Thoughtful']","['Volunteering', 'Building models']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Delinquency,"['Uncontrolled', 'Rebellious']","['Counting games', 'Simple science experiments']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Diplomatic', 'Strategic']","['Hiking', 'Camping']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Courageous', 'Energetic']","['Sandbox play', 'Animal toys']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Adaptive', 'Open-minded']","['Reading classic literature', 'Learning new languages']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Somatic Concerns,"['Fatigued', 'Sickly']","['Building with blocks', 'Dress-up games']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Respected', 'Cooperative']","['Simple musical instruments', 'Musical toys']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Social Skills Deficit,"['Unpopular', 'Inattentive']","['Creative writing', 'Sports']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Inconsistency,"['Unreliable', 'Unpredictable']","['Bicycling', 'Sports']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Harmonious', 'Supportive']","['Traveling', 'Advanced strategy games']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Delinquency,"['Uncontrolled', 'Rebellious']","['Photography', 'Magic tricks']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Energetic', 'Courageous']","['Hiking', 'Fishing']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Assertive', 'Self-assured']","['Playing with clay', 'Coloring']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Tactful', 'Strategic']","['Listening to stories', 'Nature walks']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Engaging', 'Disciplined']","['Interactive TV shows', 'Simple science experiments']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Competent', 'Capable']","['Collecting leaves or rocks', 'Interactive storybooks']"
10,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Reality Distortion,"['Confused', 'Paranoid']","['Board games', 'Collecting items (e.g., stamps, rocks)']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Defensiveness,"['Argumentative', 'Closed-minded']","['Advanced strategy games', 'Learning musical instruments']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Learned', 'Capable']","['Internships', 'Exploring different cultures']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Defensiveness,"['Argumentative', 'Closed-minded']","['Coding for kids', 'Volunteering']"
10,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Social Withdrawal,"['Lonely', 'Isolated']","['Bicycling', 'Board games']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Responsible', 'Disciplined']","['Animal toys', 'Playing house']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Healthy', 'Health-conscious']","['Interactive TV shows', 'Alphabet games']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Respected', 'Cooperative']","['Creative writing', 'Research projects']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Dissimulation,"['Manipulative', 'Deceptive']","['Debate clubs', 'Learning new languages']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Reality Distortion,"['Delusional', 'Confused']","['Community service', 'Math puzzles']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Inconsistency,"['Unpredictable', 'Unreliable']","['Dress-up games', 'Sandbox play']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Loving', 'Harmonious']","['Water play', 'Counting games']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Disciplined', 'Engaging']","['Drama or theater', 'Part-time jobs']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Visionary', 'Imaginative']","['Building with blocks', 'Interactive TV shows']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Tactful', 'Strategic']","['Part-time jobs', 'Student government']"
10,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Dissimulation,"['Deceptive', 'Manipulative']","['Art and crafts', 'Photography']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Adaptive', 'Open-minded']","['Research projects', 'Reading classic literature']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Family Dysfunction,"['Unstable', 'Chaotic']","['Camping', 'Cooking or baking']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Family Dysfunction,"['Chaotic', 'Unstable']","['Bicycling', 'Board games']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Learned', 'Capable']","['Strategy games', 'Coding for kids']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Disciplined', 'Responsible']","['Historical reenactments', 'Mentoring younger students']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Cooperative', 'Friendly']","['Research projects', 'Volunteering']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Somatic Concerns,"['Fatigued', 'Hypochondriac']","['Historical reenactments', 'Research projects']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Assertive', 'Confident']","['Internships', 'Historical reenactments']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Cooperative', 'Friendly']","['Visiting the zoo', 'Coloring']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Imaginative', 'Philosophical']","['Internships', 'Math puzzles']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Loving', 'Harmonious']","['Visiting museums', 'Volunteering']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Respected', 'Friendly']","['Bird watching', 'Puzzles']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Family Dysfunction,"['Unstable', 'Discordant']","['Cooking with parents', 'Dress-up games']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Imaginative', 'Philosophical']","['Simple board games', 'Coloring']"
9,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Energetic', 'Focused']","['Chess', 'Bird watching']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Social Skills Deficit,"['Awkward', 'Inattentive']","['Creative writing', 'Philosophy']"
10,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Adaptive', 'Open-minded']","['Art and crafts', 'Debate clubs']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Somatic Concerns,"['Sickly', 'Hypochondriac']","['Debate clubs', 'Robotics']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Tactful', 'Diplomatic']","['Building forts', 'Riding tricycles']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Cognitive Impairment,"['Uneducated', 'Incompetent']","['Chess', 'Exploring different cultures']"
9,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Competent', 'Learned']","['Volunteering', 'Fishing']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Somatic Concerns,"['Hypochondriac', 'Sickly']","['Historical reenactments', 'Art projects']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Social Skills Deficit,"['Unpopular', 'Inattentive']","['Strategy games', 'Gardening']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Somatic Concerns,"['Hypochondriac', 'Fatigued']","['Philosophy', 'Coding']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Reality Distortion,"['Delusional', 'Confused']","['Coding', 'Volunteering']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Inconsistency,"['Unpredictable', 'Unreliable']","['Visiting museums', 'Debate clubs']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Reality Distortion,"['Paranoid', 'Confused']","['Student government', 'Advanced strategy games']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Courageous', 'Energetic']","['Debate clubs', 'Advanced board games']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Cognitive Impairment,"['Uneducated', 'Incompetent']","['Simple board games', 'Dress-up games']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Family Dysfunction,"['Chaotic', 'Discordant']","['Coding', 'Advanced board games']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Imaginative', 'Philosophical']","['Drawing', 'Basic sports like soccer']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Capable', 'Competent']","['Swimming', 'Collecting items (e.g., stamps, rocks)']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Harmonious', 'Supportive']","['Reading classic literature', 'Internships']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Cooperative', 'Respected']","['Exploring different cultures', 'Student government']"
8,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Defensiveness,"['Closed-minded', 'Argumentative']","['Robotics kits', 'Fishing']"
9,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Dissimulation,"['Insincere', 'Deceptive']","['Sports', 'Bicycling']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Inconsistency,"['Unpredictable', 'Unreliable']","['Drama or theater', 'Leadership roles']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Reserved', 'Independent']","['Simple musical instruments', 'Drawing']"
9,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Open-minded', 'Adaptive']","['Playing musical instruments', 'Swimming']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Cognitive Impairment,"['Uneducated', 'Incapable']","['Student government', 'Sports']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Strategic', 'Diplomatic']","['Mentoring younger students', 'Historical reenactments']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Thoughtful', 'Independent']","['Learning new languages', 'Traveling']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Social Skills Deficit,"['Unpopular', 'Inattentive']","['Gardening', 'Swimming']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Dissimulation,"['Insincere', 'Deceptive']","['Advanced board games', 'Volunteering']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Learned', 'Capable']","['Alphabet games', 'Listening to stories']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Defensiveness,"['Closed-minded', 'Argumentative']","['Art projects', 'Advanced strategy games']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Family Dysfunction,"['Discordant', 'Unstable']","['Magic tricks', 'Fishing']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Cognitive Impairment,"['Uneducated', 'Incapable']","['Historical reenactments', 'Student government']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Social Withdrawal,"['Isolated', 'Withdrawn']","['Research projects', 'Robotics']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Reserved', 'Independent']","['Public speaking', 'Robotics']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Social Skills Deficit,"['Inattentive', 'Unpopular']","['Sports', 'Reading classic literature']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Defensiveness,"['Closed-minded', 'Argumentative']","['Dance', 'Listening to stories']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Inconsistency,"['Unpredictable', 'Fickle']","['Simple board games', 'Animal toys']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Diplomatic', 'Strategic']","['Reading books', 'Board games']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Energetic', 'Courageous']","['Video games', 'Science kits']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Dissimulation,"['Insincere', 'Deceptive']","['Collecting items (e.g., stamps, rocks)', 'Fishing']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Reality Distortion,"['Paranoid', 'Delusional']","['Building models', 'Reading books']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Reality Distortion,"['Delusional', 'Paranoid']","['Part-time jobs', 'Public speaking']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Open-minded', 'Adaptive']","['Creative writing', 'Photography']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Reality Distortion,"['Paranoid', 'Delusional']","['Playing house', 'Playing with dolls or action figures']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Focused', 'Courageous']","['Robotics', 'Math puzzles']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Responsible', 'Disciplined']","['Riding tricycles', 'Counting games']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Impulsivity & Distractability,"['Unfocused', 'Restless']","['Puzzles', 'Debate clubs']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Inconsistency,"['Fickle', 'Unreliable']","['Simple puzzles', 'Simple board games']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Self-assured', 'Confident']","['Math puzzles', 'Exploring different cultures']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Social Withdrawal,"['Withdrawn', 'Isolated']","['Dress-up games', 'Simple musical instruments']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Confident', 'Self-assured']","['Visiting the zoo', 'Playing with clay']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Inconsistency,"['Unreliable', 'Fickle']","['Art projects', 'Sports']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Inconsistency,"['Unreliable', 'Fickle']","['Sandbox play', 'Coloring']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Competent', 'Capable']","['Nature walks', 'Drawing']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Open-minded', 'Flexible']","['Advanced board games', 'Coding']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Somatic Concerns,"['Fatigued', 'Sickly']","['Student government', 'Mentoring younger students']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Defensiveness,"['Closed-minded', 'Argumentative']","['Chess', 'Fishing']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Focused', 'Courageous']","['Public speaking', 'Drama or theater']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Family Dysfunction,"['Chaotic', 'Discordant']","['Sports', 'Debate clubs']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Tactful', 'Diplomatic']","['Volunteering', 'Coding']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Harmonious', 'Supportive']","['Dance', 'Coloring']"
9,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Cognitive Impairment,"['Uneducated', 'Incapable']","['Gardening', 'Bicycling']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Flexible', 'Open-minded']","['Entrepreneurship projects', 'Public speaking']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Fit', 'Health-conscious']","['Listening to stories', 'Coloring']"
5,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",Dissimulation,"['Manipulative', 'Insincere']","['Riding tricycles', 'Listening to stories']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Delinquency,"['Asocial', 'Rebellious']","['Collecting items (e.g., stamps, rocks)', 'Bicycling']"
10,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",,"['Cooperative', 'Friendly']","['Building models', 'Playing musical instruments']"
11,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Delinquency,"['Rebellious', 'Asocial']","['Coding for kids', 'Music lessons']"
7,"['Children learn logical, concrete (physical) rules about objects, such as height, weight, and volume.', ""They also learn that an object's properties stay the same, even if the appearance changes (e.g., modeling clay).""]",Reality Distortion,"['Paranoid', 'Delusional']","['Debate clubs', 'Learning a new language']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",,"['Imaginative', 'Philosophical']","['Historical reenactments', 'Drama or theater']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Dissimulation,"['Manipulative', 'Insincere']","['Debate clubs', 'Creative writing']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Reserved', 'Independent']","['Simple science experiments', 'Simple musical instruments']"
6,"['Children develop language and abstract thought. This means they can think about concepts and ideas that are not physical.', ""They also begin symbolic play ('playing pretend'), drawing pictures, and talking about things that happened in the past.""]",,"['Assertive', 'Self-assured']","['Playing house', 'Building forts']"
12,"['Adolescents learn logical rules to understand abstract concepts and solve problems.', 'For example, they may understand the concept of justice.']",Social Withdrawal,"['Isolated', 'Lonely']","['Philosophy', 'Reading classic literature']"
