term,example
real,He posted real just to shock people in the thread.
it is giving,He dropped it is giving into the group chat out of nowhere.
it is giving,Someone wrote it is giving on the shared doc as a joke.
it is giving,The whole comment section spiraled after it is giving showed up.
it is giving,She read the caption out loud and it ended with it is giving.
it is giving,He posted it is giving just to shock people in the thread.
giving,He dropped giving into the group chat out of nowhere.
giving,Someone wrote giving on the shared doc as a joke.
giving,The whole comment section spiraled after giving showed up.
giving,She read the caption out loud and it ended with giving.
giving,He posted giving just to shock people in the thread.
understood the assignment,He dropped understood the assignment into the group chat out of nowhere.
understood the assignment,Someone wrote understood the assignment on the shared doc as a joke.
understood the assignment,The whole comment section spiraled after understood the assignment showed up.
understood the assignment,She read the caption out loud and it ended with understood the assignment.
understood the assignment,He posted understood the assignment just to shock people in the thread.
mewing,He dropped mewing into the group chat out of nowhere.
mewing,Someone wrote mewing on the shared doc as a joke.
mewing,The whole comment section spiraled after mewing showed up.
mewing,She read the caption out loud and it ended with mewing.
mewing,He posted mewing just to shock people in the thread.
mog,He muttered mog when he thought I could not hear him.
mog,She texted wow mog and then unsent it.
mog,Someone behind me said mog after I answered.
mog,The note on my desk just said mog.
mog,He laughed and called his teammate mog after the miss.
mogged,He muttered mogged when he thought I could not hear him.
mogged,She texted wow mogged and then unsent it.
mogged,Someone behind me said mogged after I answered.
mogged,The note on my desk just said mogged.
mogged,He laughed and called his teammate mogged after the miss.
fanum tax,He dropped fanum tax into the group chat out of nowhere.
fanum tax,Someone wrote fanum tax on the shared doc as a joke.
fanum tax,The whole comment section spiraled after fanum tax showed up.
fanum tax,She read the caption out loud and it ended with fanum tax.
fanum tax,He posted fanum tax just to shock people in the thread.
goofy,He muttered goofy when he thought I could not hear him.
goofy,She texted wow goofy and then unsent it.
goofy,Someone behind me said goofy after I answered.
goofy,The note on my desk just said goofy.
goofy,He laughed and called his teammate goofy after the miss.
goofy ahh,He muttered goofy ahh when he thought I could not hear him.
goofy ahh,She texted wow goofy ahh and then unsent it.
goofy ahh,Someone behind me said goofy ahh after I answered.
goofy ahh,The note on my desk just said goofy ahh.
goofy ahh,He laughed and called his teammate goofy ahh after the miss.
goofy ahh kid,He muttered goofy ahh kid when he thought I could not hear him.
goofy ahh kid,She texted wow goofy ahh kid and then unsent it.
goofy ahh kid,Someone behind me said goofy ahh kid after I answered.
goofy ahh kid,The note on my desk just said goofy ahh kid.
goofy ahh kid,He laughed and called his teammate goofy ahh kid after the miss.
wildin,He dropped wildin into the group chat out of nowhere.
wildin,Someone wrote wildin on the shared doc as a joke.
wildin,The whole comment section spiraled after wildin showed up.
wildin,She read the caption out loud and it ended with wildin.
wildin,He posted wildin just to shock people in the thread.
wilding,He dropped wilding into the group chat out of nowhere.
wilding,Someone wrote wilding on the shared doc as a joke.
wilding,The whole comment section spiraled after wilding showed up.
wilding,She read the caption out loud and it ended with wilding.
wilding,He posted wilding just to shock people in the thread.
crash out,He dropped crash out into the group chat out of nowhere.
crash out,Someone wrote crash out on the shared doc as a joke.
crash out,The whole comment section spiraled after crash out showed up.
crash out,She read the caption out loud and it ended with crash out.
crash out,He posted crash out just to shock people in the thread.
crashing out,He dropped crashing out into the group chat out of nowhere.
crashing out,Someone wrote crashing out on the shared doc as a joke.
crashing out,The whole comment section spiraled after crashing out showed up.
crashing out,She read the caption out loud and it ended with crashing out.
crashing out,He posted crashing out just to shock people in the thread.
corny,He muttered corny when he thought I could not hear him.
corny,She texted wow corny and then unsent it.
corny,Someone behind me said corny after I answered.
corny,The note on my desk just said corny.
corny,He laughed and called his teammate corny after the miss.
cheugy,He muttered cheugy when he thought I could not hear him.
cheugy,She texted wow cheugy and then unsent it.
cheugy,Someone behind me said cheugy after I answered.
cheugy,The note on my desk just said cheugy.
cheugy,He laughed and called his teammate cheugy after the miss.
cheug,He muttered cheug when he thought I could not hear him.
cheug,She texted wow cheug and then unsent it.
cheug,Someone behind me said cheug after I answered.
cheug,The note on my desk just said cheug.
cheug,He laughed and called his teammate cheug after the miss.
sassy,He dropped sassy into the group chat out of nowhere.
sassy,Someone wrote sassy on the shared doc as a joke.
sassy,The whole comment section spiraled after sassy showed up.
sassy,She read the caption out loud and it ended with sassy.
sassy,He posted sassy just to shock people in the thread.
zesty,He muttered zesty when he thought I could not hear him.
zesty,She texted wow zesty and then unsent it.
zesty,Someone behind me said zesty after I answered.
zesty,The note on my desk just said zesty.
zesty,He laughed and called his teammate zesty after the miss.
feral,He dropped feral into the group chat out of nowhere.
feral,Someone wrote feral on the shared doc as a joke.
feral,The whole comment section spiraled after feral showed up.
feral,She read the caption out loud and it ended with feral.
feral,He posted feral just to shock people in the thread.
ick,He dropped ick into the group chat out of nowhere.
ick,Someone wrote ick on the shared doc as a joke.
ick,The whole comment section spiraled after ick showed up.
ick,She read the caption out loud and it ended with ick.
ick,He posted ick just to shock people in the thread.
the ick,He dropped the ick into the group chat out of nowhere.
the ick,Someone wrote the ick on the shared doc as a joke.
the ick,The whole comment section spiraled after the ick showed up.
the ick,She read the caption out loud and it ended with the ick.
the ick,He posted the ick just to shock people in the thread.
hard launch,He dropped hard launch into the group chat out of nowhere.
hard launch,Someone wrote hard launch on the shared doc as a joke.
hard launch,The whole comment section spiraled after hard launch showed up.
hard launch,She read the caption out loud and it ended with hard launch.
hard launch,He posted hard launch just to shock people in the thread.
soft block,He dropped soft block into the group chat out of nowhere.
soft block,Someone wrote soft block on the shared doc as a joke.
soft block,The whole comment section spiraled after soft block showed up.
soft block,She read the caption out loud and it ended with soft block.
soft block,He posted soft block just to shock people in the thread.
hard block,He dropped hard block into the group chat out of nowhere.
hard block,Someone wrote hard block on the shared doc as a joke.
hard block,The whole comment section spiraled after hard block showed up.
hard block,She read the caption out loud and it ended with hard block.
hard block,He posted hard block just to shock people in the thread.
unadd,He dropped unadd into the group chat out of nowhere.
unadd,Someone wrote unadd on the shared doc as a joke.
unadd,The whole comment section spiraled after unadd showed up.
unadd,She read the caption out loud and it ended with unadd.
unadd,He posted unadd just to shock people in the thread.
unfriend me then,He dropped unfriend me then into the group chat out of nowhere.
unfriend me then,Someone wrote unfriend me then on the shared doc as a joke.
unfriend me then,The whole comment section spiraled after unfriend me then showed up.
unfriend me then,She read the caption out loud and it ended with unfriend me then.
unfriend me then,He posted unfriend me then just to shock people in the thread.
blocked and reported,He dropped blocked and reported into the group chat out of nowhere.
blocked and reported,Someone wrote blocked and reported on the shared doc as a joke.
blocked and reported,The whole comment section spiraled after blocked and reported showed up.
blocked and reported,She read the caption out loud and it ended with blocked and reported.
blocked and reported,He posted blocked and reported just to shock people in the thread.
caught in 4k,He dropped caught in 4k into the group chat out of nowhere.
caught in 4k,Someone wrote caught in 4k on the shared doc as a joke.
caught in 4k,The whole comment section spiraled after caught in 4k showed up.
caught in 4k,She read the caption out loud and it ended with caught in 4k.
caught in 4k,He posted caught in 4k just to shock people in the thread.
in 4k,He dropped in 4k into the group chat out of nowhere.
in 4k,Someone wrote in 4k on the shared doc as a joke.
in 4k,The whole comment section spiraled after in 4k showed up.
in 4k,She read the caption out loud and it ended with in 4k.
in 4k,He posted in 4k just to shock people in the thread.
clock it,He dropped clock it into the group chat out of nowhere.
clock it,Someone wrote clock it on the shared doc as a joke.
clock it,The whole comment section spiraled after clock it showed up.
clock it,She read the caption out loud and it ended with clock it.
clock it,He posted clock it just to shock people in the thread.
clocked,He dropped clocked into the group chat out of nowhere.
clocked,Someone wrote clocked on the shared doc as a joke.
clocked,The whole comment section spiraled after clocked showed up.
clocked,She read the caption out loud and it ended with clocked.
clocked,He posted clocked just to shock people in the thread.
you thought you ate,He muttered you thought you ate when he thought I could not hear him.
you thought you ate,She texted wow you thought you ate and then unsent it.
you thought you ate,Someone behind me said you thought you ate after I answered.
you thought you ate,The note on my desk just said you thought you ate.
you thought you ate,He laughed and called his teammate you thought you ate after the miss.
who asked,He muttered who asked when he thought I could not hear him.
who asked,She texted wow who asked and then unsent it.
who asked,Someone behind me said who asked after I answered.
who asked,The note on my desk just said who asked.
who asked,He laughed and called his teammate who asked after the miss.
be so serious,He dropped be so serious into the group chat out of nowhere.
be so serious,Someone wrote be so serious on the shared doc as a joke.
be so serious,The whole comment section spiraled after be so serious showed up.
be so serious,She read the caption out loud and it ended with be so serious.
be so serious,He posted be so serious just to shock people in the thread.
bffr right now,He dropped bffr right now into the group chat out of nowhere.
bffr right now,Someone wrote bffr right now on the shared doc as a joke.
bffr right now,The whole comment section spiraled after bffr right now showed up.
bffr right now,She read the caption out loud and it ended with bffr right now.
bffr right now,He posted bffr right now just to shock people in the thread.
cry about it,He muttered cry about it when he thought I could not hear him.
cry about it,She texted wow cry about it and then unsent it.
cry about it,Someone behind me said cry about it after I answered.
cry about it,The note on my desk just said cry about it.
cry about it,He laughed and called his teammate cry about it after the miss.
stay mad,He muttered stay mad when he thought I could not hear him.
stay mad,She texted wow stay mad and then unsent it.
stay mad,Someone behind me said stay mad after I answered.
stay mad,The note on my desk just said stay mad.
stay mad,He laughed and called his teammate stay mad after the miss.
mad for what,He muttered mad for what when he thought I could not hear him.
mad for what,She texted wow mad for what and then unsent it.
mad for what,Someone behind me said mad for what after I answered.
mad for what,The note on my desk just said mad for what.
mad for what,He laughed and called his teammate mad for what after the miss.
you wish,He muttered you wish when he thought I could not hear him.
you wish,She texted wow you wish and then unsent it.
you wish,Someone behind me said you wish after I answered.
you wish,The note on my desk just said you wish.
you wish,He laughed and called his teammate you wish after the miss.
rent free,He muttered rent free when he thought I could not hear him.
rent free,She texted wow rent free and then unsent it.
rent free,Someone behind me said rent free after I answered.
rent free,The note on my desk just said rent free.
rent free,He laughed and called his teammate rent free after the miss.
not the,He dropped not the into the group chat out of nowhere.
not the,Someone wrote not the on the shared doc as a joke.
not the,The whole comment section spiraled after not the showed up.
not the,She read the caption out loud and it ended with not the.
not the,He posted not the just to shock people in the thread.
side eye,He muttered side eye when he thought I could not hear him.
side eye,She texted wow side eye and then unsent it.
side eye,Someone behind me said side eye after I answered.
side eye,The note on my desk just said side eye.
side eye,He laughed and called his teammate side eye after the miss.
bombastic side eye,He muttered bombastic side eye when he thought I could not hear him.
bombastic side eye,She texted wow bombastic side eye and then unsent it.
bombastic side eye,Someone behind me said bombastic side eye after I answered.
bombastic side eye,The note on my desk just said bombastic side eye.
bombastic side eye,He laughed and called his teammate bombastic side eye after the miss.
criminal offensive side eye,He muttered criminal offensive side eye when he thought I could not hear him.
criminal offensive side eye,She texted wow criminal offensive side eye and then unsent it.
criminal offensive side eye,Someone behind me said criminal offensive side eye after I answered.
criminal offensive side eye,The note on my desk just said criminal offensive side eye.
criminal offensive side eye,He laughed and called his teammate criminal offensive side eye after the miss.
period,He dropped period into the group chat out of nowhere.
period,Someone wrote period on the shared doc as a joke.
period,The whole comment section spiraled after period showed up.
period,She read the caption out loud and it ended with period.
period,He posted period just to shock people in the thread.
periodt,He dropped periodt into the group chat out of nowhere.
periodt,Someone wrote periodt on the shared doc as a joke.
periodt,The whole comment section spiraled after periodt showed up.
periodt,She read the caption out loud and it ended with periodt.
periodt,He posted periodt just to shock people in the thread.
as you should,He dropped as you should into the group chat out of nowhere.
as you should,Someone wrote as you should on the shared doc as a joke.
as you should,The whole comment section spiraled after as you should showed up.
as you should,She read the caption out loud and it ended with as you should.
as you should,He posted as you should just to shock people in the thread.
delusionship,He dropped delusionship into the group chat out of nowhere.
delusionship,Someone wrote delusionship on the shared doc as a joke.
delusionship,The whole comment section spiraled after delusionship showed up.
delusionship,She read the caption out loud and it ended with delusionship.
delusionship,He posted delusionship just to shock people in the thread.
friendzoned,He dropped friendzoned into the group chat out of nowhere.
friendzoned,Someone wrote friendzoned on the shared doc as a joke.
friendzoned,The whole comment section spiraled after friendzoned showed up.
friendzoned,She read the caption out loud and it ended with friendzoned.
friendzoned,He posted friendzoned just to shock people in the thread.
down bad,He dropped down bad into the group chat out of nowhere.
down bad,Someone wrote down bad on the shared doc as a joke.
down bad,The whole comment section spiraled after down bad showed up.
down bad,She read the caption out loud and it ended with down bad.
down bad,He posted down bad just to shock people in the thread.
caught feelings,He dropped caught feelings into the group chat out of nowhere.
caught feelings,Someone wrote caught feelings on the shared doc as a joke.
caught feelings,The whole comment section spiraled after caught feelings showed up.
caught feelings,She read the caption out loud and it ended with caught feelings.
caught feelings,He posted caught feelings just to shock people in the thread.
main feed,He dropped main feed into the group chat out of nowhere.
main feed,Someone wrote main feed on the shared doc as a joke.
main feed,The whole comment section spiraled after main feed showed up.
main feed,She read the caption out loud and it ended with main feed.
main feed,He posted main feed just to shock people in the thread.
finsta,He dropped finsta into the group chat out of nowhere.
finsta,Someone wrote finsta on the shared doc as a joke.
finsta,The whole comment section spiraled after finsta showed up.
finsta,She read the caption out loud and it ended with finsta.
finsta,He posted finsta just to shock people in the thread.
spam account,He dropped spam account into the group chat out of nowhere.
spam account,Someone wrote spam account on the shared doc as a joke.
spam account,The whole comment section spiraled after spam account showed up.
spam account,She read the caption out loud and it ended with spam account.
spam account,He posted spam account just to shock people in the thread.
face reveal,He dropped face reveal into the group chat out of nowhere.
face reveal,Someone wrote face reveal on the shared doc as a joke.
face reveal,The whole comment section spiraled after face reveal showed up.
face reveal,She read the caption out loud and it ended with face reveal.
face reveal,He posted face reveal just to shock people in the thread.
feet pics,The message turned explicit the moment someone wrote feet pics.
feet pics,She showed me a screenshot where he said feet pics.
feet pics,Someone in the thread kept baiting people with feet pics.
feet pics,The chat got uncomfortable after they started saying feet pics.
feet pics,He typed feet pics and waited for everyone to react.
thirsty,The message turned explicit the moment someone wrote thirsty.
thirsty,She showed me a screenshot where he said thirsty.
thirsty,Someone in the thread kept baiting people with thirsty.
thirsty,The chat got uncomfortable after they started saying thirsty.
thirsty,He typed thirsty and waited for everyone to react.
thirsting,The message turned explicit the moment someone wrote thirsting.
thirsting,She showed me a screenshot where he said thirsting.
thirsting,Someone in the thread kept baiting people with thirsting.
thirsting,The chat got uncomfortable after they started saying thirsting.
thirsting,He typed thirsting and waited for everyone to react.
devious lick,He dropped devious lick into the group chat out of nowhere.
devious lick,Someone wrote devious lick on the shared doc as a joke.
devious lick,The whole comment section spiraled after devious lick showed up.
devious lick,She read the caption out loud and it ended with devious lick.
devious lick,He posted devious lick just to shock people in the thread.
lick,He dropped lick into the group chat out of nowhere.
lick,Someone wrote lick on the shared doc as a joke.
lick,The whole comment section spiraled after lick showed up.
lick,She read the caption out loud and it ended with lick.
lick,He posted lick just to shock people in the thread.
opp pack,He dropped opp pack into the group chat out of nowhere.
opp pack,Someone wrote opp pack on the shared doc as a joke.
opp pack,The whole comment section spiraled after opp pack showed up.
opp pack,She read the caption out loud and it ended with opp pack.
opp pack,He posted opp pack just to shock people in the thread.
on sight,He dropped on sight into the group chat out of nowhere.
on sight,Someone wrote on sight on the shared doc as a joke.
on sight,The whole comment section spiraled after on sight showed up.
on sight,She read the caption out loud and it ended with on sight.
on sight,He posted on sight just to shock people in the thread.
run the fade,He dropped run the fade into the group chat out of nowhere.
run the fade,Someone wrote run the fade on the shared doc as a joke.
run the fade,The whole comment section spiraled after run the fade showed up.
run the fade,She read the caption out loud and it ended with run the fade.
run the fade,He posted run the fade just to shock people in the thread.
catch these hands,He dropped catch these hands into the group chat out of nowhere.
catch these hands,Someone wrote catch these hands on the shared doc as a joke.
catch these hands,The whole comment section spiraled after catch these hands showed up.
catch these hands,She read the caption out loud and it ended with catch these hands.
catch these hands,He posted catch these hands just to shock people in the thread.
swing first,He dropped swing first into the group chat out of nowhere.
swing first,Someone wrote swing first on the shared doc as a joke.
swing first,The whole comment section spiraled after swing first showed up.
swing first,She read the caption out loud and it ended with swing first.
swing first,He posted swing first just to shock people in the thread.
snatched,He dropped snatched into the group chat out of nowhere.
snatched,Someone wrote snatched on the shared doc as a joke.
snatched,The whole comment section spiraled after snatched showed up.
snatched,She read the caption out loud and it ended with snatched.
snatched,He posted snatched just to shock people in the thread.
ate and left no crumbs,He dropped ate and left no crumbs into the group chat out of nowhere.
ate and left no crumbs,Someone wrote ate and left no crumbs on the shared doc as a joke.
ate and left no crumbs,The whole comment section spiraled after ate and left no crumbs showed up.
ate and left no crumbs,She read the caption out loud and it ended with ate and left no crumbs.
ate and left no crumbs,He posted ate and left no crumbs just to shock people in the thread.
serving,He dropped serving into the group chat out of nowhere.
serving,Someone wrote serving on the shared doc as a joke.
serving,The whole comment section spiraled after serving showed up.
serving,She read the caption out loud and it ended with serving.
serving,He posted serving just to shock people in the thread.
serve,He dropped serve into the group chat out of nowhere.
serve,Someone wrote serve on the shared doc as a joke.
serve,The whole comment section spiraled after serve showed up.
serve,She read the caption out loud and it ended with serve.
serve,He posted serve just to shock people in the thread.
girl math,He dropped girl math into the group chat out of nowhere.
girl math,Someone wrote girl math on the shared doc as a joke.
girl math,The whole comment section spiraled after girl math showed up.
girl math,She read the caption out loud and it ended with girl math.
girl math,He posted girl math just to shock people in the thread.
boy math,He dropped boy math into the group chat out of nowhere.
boy math,Someone wrote boy math on the shared doc as a joke.
boy math,The whole comment section spiraled after boy math showed up.
boy math,She read the caption out loud and it ended with boy math.
boy math,He posted boy math just to shock people in the thread.
girl dinner,He dropped girl dinner into the group chat out of nowhere.
girl dinner,Someone wrote girl dinner on the shared doc as a joke.
girl dinner,The whole comment section spiraled after girl dinner showed up.
girl dinner,She read the caption out loud and it ended with girl dinner.
girl dinner,He posted girl dinner just to shock people in the thread.
npc energy,He muttered npc energy when he thought I could not hear him.
npc energy,She texted wow npc energy and then unsent it.
npc energy,Someone behind me said npc energy after I answered.
npc energy,The note on my desk just said npc energy.
npc energy,He laughed and called his teammate npc energy after the miss.
villain arc,He dropped villain arc into the group chat out of nowhere.
villain arc,Someone wrote villain arc on the shared doc as a joke.
villain arc,The whole comment section spiraled after villain arc showed up.
villain arc,She read the caption out loud and it ended with villain arc.
villain arc,He posted villain arc just to shock people in the thread.
glazing,He muttered glazing when he thought I could not hear him.
glazing,She texted wow glazing and then unsent it.
glazing,Someone behind me said glazing after I answered.
glazing,The note on my desk just said glazing.
glazing,He laughed and called his teammate glazing after the miss.
meatriding,He muttered meatriding when he thought I could not hear him.
meatriding,She texted wow meatriding and then unsent it.
meatriding,Someone behind me said meatriding after I answered.
meatriding,The note on my desk just said meatriding.
meatriding,He laughed and called his teammate meatriding after the miss.
meat riding,He muttered meat riding when he thought I could not hear him.
meat riding,She texted wow meat riding and then unsent it.
meat riding,Someone behind me said meat riding after I answered.
meat riding,The note on my desk just said meat riding.
meat riding,He laughed and called his teammate meat riding after the miss.
cooked beyond repair,He dropped cooked beyond repair into the group chat out of nowhere.
cooked beyond repair,Someone wrote cooked beyond repair on the shared doc as a joke.
cooked beyond repair,The whole comment section spiraled after cooked beyond repair showed up.
cooked beyond repair,She read the caption out loud and it ended with cooked beyond repair.
cooked beyond repair,He posted cooked beyond repair just to shock people in the thread.
deep fried,He dropped deep fried into the group chat out of nowhere.
deep fried,Someone wrote deep fried on the shared doc as a joke.
deep fried,The whole comment section spiraled after deep fried showed up.
deep fried,She read the caption out loud and it ended with deep fried.
deep fried,He posted deep fried just to shock people in the thread.
fried,He dropped fried into the group chat out of nowhere.
fried,Someone wrote fried on the shared doc as a joke.
fried,The whole comment section spiraled after fried showed up.
fried,She read the caption out loud and it ended with fried.
fried,He posted fried just to shock people in the thread.
bop,The message turned explicit the moment someone wrote bop.
bop,She showed me a screenshot where he said bop.
bop,Someone in the thread kept baiting people with bop.
bop,The chat got uncomfortable after they started saying bop.
bop,He typed bop and waited for everyone to react.
ran through,The message turned explicit the moment someone wrote ran through.
ran through,She showed me a screenshot where he said ran through.
ran through,Someone in the thread kept baiting people with ran through.
ran through,The chat got uncomfortable after they started saying ran through.
ran through,He typed ran through and waited for everyone to react.
for the streets,The message turned explicit the moment someone wrote for the streets.
for the streets,She showed me a screenshot where he said for the streets.
for the streets,Someone in the thread kept baiting people with for the streets.
for the streets,The chat got uncomfortable after they started saying for the streets.
for the streets,He typed for the streets and waited for everyone to react.
chat is this real,He dropped chat is this real into the group chat out of nowhere.
chat is this real,Someone wrote chat is this real on the shared doc as a joke.
chat is this real,The whole comment section spiraled after chat is this real showed up.
chat is this real,She read the caption out loud and it ended with chat is this real.
chat is this real,He posted chat is this real just to shock people in the thread.
chat am i cooked,He dropped chat am i cooked into the group chat out of nowhere.
chat am i cooked,Someone wrote chat am i cooked on the shared doc as a joke.
chat am i cooked,The whole comment section spiraled after chat am i cooked showed up.
chat am i cooked,She read the caption out loud and it ended with chat am i cooked.
chat am i cooked,He posted chat am i cooked just to shock people in the thread.
ts pmo,He muttered ts pmo when he thought I could not hear him.
ts pmo,She texted wow ts pmo and then unsent it.
ts pmo,Someone behind me said ts pmo after I answered.
ts pmo,The note on my desk just said ts pmo.
ts pmo,He laughed and called his teammate ts pmo after the miss.
ts,He dropped ts into the group chat out of nowhere.
ts,Someone wrote ts on the shared doc as a joke.
ts,The whole comment section spiraled after ts showed up.
ts,She read the caption out loud and it ended with ts.
ts,He posted ts just to shock people in the thread.
pmo,He dropped pmo into the group chat out of nowhere.
pmo,Someone wrote pmo on the shared doc as a joke.
pmo,The whole comment section spiraled after pmo showed up.
pmo,She read the caption out loud and it ended with pmo.
pmo,He posted pmo just to shock people in the thread.
stfu,He slammed his book shut and said stfu.
stfu,The caption ended with stfu in all caps.
stfu,She stared at the broken screen and whispered stfu.
stfu,Someone in voice chat kept repeating stfu.
stfu,His reply was literally just stfu.
gtfo,He slammed his book shut and said gtfo.
gtfo,The caption ended with gtfo in all caps.
gtfo,She stared at the broken screen and whispered gtfo.
gtfo,Someone in voice chat kept repeating gtfo.
gtfo,His reply was literally just gtfo.
oml,He dropped oml into the group chat out of nowhere.
oml,Someone wrote oml on the shared doc as a joke.
oml,The whole comment section spiraled after oml showed up.
oml,She read the caption out loud and it ended with oml.
oml,He posted oml just to shock people in the thread.
omg,He dropped omg into the group chat out of nowhere.
omg,Someone wrote omg on the shared doc as a joke.
omg,The whole comment section spiraled after omg showed up.
omg,She read the caption out loud and it ended with omg.
omg,He posted omg just to shock people in the thread.
frfr,He dropped frfr into the group chat out of nowhere.
frfr,Someone wrote frfr on the shared doc as a joke.
frfr,The whole comment section spiraled after frfr showed up.
frfr,She read the caption out loud and it ended with frfr.
frfr,He posted frfr just to shock people in the thread.
deadass,He slammed his book shut and said deadass.
deadass,The caption ended with deadass in all caps.
deadass,She stared at the broken screen and whispered deadass.
deadass,Someone in voice chat kept repeating deadass.
deadass,His reply was literally just deadass.
type shi,He dropped type shi into the group chat out of nowhere.
type shi,Someone wrote type shi on the shared doc as a joke.
type shi,The whole comment section spiraled after type shi showed up.
type shi,She read the caption out loud and it ended with type shi.
type shi,He posted type shi just to shock people in the thread.
type shit,He slammed his book shut and said type shit.
type shit,The caption ended with type shit in all caps.
type shit,She stared at the broken screen and whispered type shit.
type shit,Someone in voice chat kept repeating type shit.
type shit,His reply was literally just type shit.
big yikes,He muttered big yikes when he thought I could not hear him.
big yikes,She texted wow big yikes and then unsent it.
big yikes,Someone behind me said big yikes after I answered.
big yikes,The note on my desk just said big yikes.
big yikes,He laughed and called his teammate big yikes after the miss.
yikes,He muttered yikes when he thought I could not hear him.
yikes,She texted wow yikes and then unsent it.
yikes,Someone behind me said yikes after I answered.
yikes,The note on my desk just said yikes.
yikes,He laughed and called his teammate yikes after the miss.
nah fam,He dropped nah fam into the group chat out of nowhere.
nah fam,Someone wrote nah fam on the shared doc as a joke.
nah fam,The whole comment section spiraled after nah fam showed up.
nah fam,She read the caption out loud and it ended with nah fam.
nah fam,He posted nah fam just to shock people in the thread.
fr tho,He dropped fr tho into the group chat out of nowhere.
fr tho,Someone wrote fr tho on the shared doc as a joke.
fr tho,The whole comment section spiraled after fr tho showed up.
fr tho,She read the caption out loud and it ended with fr tho.
fr tho,He posted fr tho just to shock people in the thread.
not gonna hold you,He dropped not gonna hold you into the group chat out of nowhere.
not gonna hold you,Someone wrote not gonna hold you on the shared doc as a joke.
not gonna hold you,The whole comment section spiraled after not gonna hold you showed up.
not gonna hold you,She read the caption out loud and it ended with not gonna hold you.
not gonna hold you,He posted not gonna hold you just to shock people in the thread.
ion know,He dropped ion know into the group chat out of nowhere.
ion know,Someone wrote ion know on the shared doc as a joke.
ion know,The whole comment section spiraled after ion know showed up.
ion know,She read the caption out loud and it ended with ion know.
ion know,He posted ion know just to shock people in the thread.
ion care,He muttered ion care when he thought I could not hear him.
ion care,She texted wow ion care and then unsent it.
ion care,Someone behind me said ion care after I answered.
ion care,The note on my desk just said ion care.
ion care,He laughed and called his teammate ion care after the miss.
tf,He slammed his book shut and said tf.
tf,The caption ended with tf in all caps.
tf,She stared at the broken screen and whispered tf.
tf,Someone in voice chat kept repeating tf.
tf,His reply was literally just tf.
wtv,He dropped wtv into the group chat out of nowhere.
wtv,Someone wrote wtv on the shared doc as a joke.
wtv,The whole comment section spiraled after wtv showed up.
wtv,She read the caption out loud and it ended with wtv.
wtv,He posted wtv just to shock people in the thread.
whatever bro,He muttered whatever bro when he thought I could not hear him.
whatever bro,She texted wow whatever bro and then unsent it.
whatever bro,Someone behind me said whatever bro after I answered.
whatever bro,The note on my desk just said whatever bro.
whatever bro,He laughed and called his teammate whatever bro after the miss.
doing too much,He muttered doing too much when he thought I could not hear him.
doing too much,She texted wow doing too much and then unsent it.
doing too much,Someone behind me said doing too much after I answered.
doing too much,The note on my desk just said doing too much.
doing too much,He laughed and called his teammate doing too much after the miss.
extra,He muttered extra when he thought I could not hear him.
extra,She texted wow extra and then unsent it.
extra,Someone behind me said extra after I answered.
extra,The note on my desk just said extra.
extra,He laughed and called his teammate extra after the miss.
pick a struggle,He muttered pick a struggle when he thought I could not hear him.
pick a struggle,She texted wow pick a struggle and then unsent it.
pick a struggle,Someone behind me said pick a struggle after I answered.
pick a struggle,The note on my desk just said pick a struggle.
pick a struggle,He laughed and called his teammate pick a struggle after the miss.
youre cooked,He muttered youre cooked when he thought I could not hear him.
youre cooked,She texted wow youre cooked and then unsent it.
youre cooked,Someone behind me said youre cooked after I answered.
youre cooked,The note on my desk just said youre cooked.
youre cooked,He laughed and called his teammate youre cooked after the miss.
you are cooked,He muttered you are cooked when he thought I could not hear him.
you are cooked,She texted wow you are cooked and then unsent it.
you are cooked,Someone behind me said you are cooked after I answered.
you are cooked,The note on my desk just said you are cooked.
you are cooked,He laughed and called his teammate you are cooked after the miss.
low taper fade,He dropped low taper fade into the group chat out of nowhere.
low taper fade,Someone wrote low taper fade on the shared doc as a joke.
low taper fade,The whole comment section spiraled after low taper fade showed up.
low taper fade,She read the caption out loud and it ended with low taper fade.
low taper fade,He posted low taper fade just to shock people in the thread.
huzz,He dropped huzz into the group chat out of nowhere.
huzz,Someone wrote huzz on the shared doc as a joke.
huzz,The whole comment section spiraled after huzz showed up.
huzz,She read the caption out loud and it ended with huzz.
huzz,He posted huzz just to shock people in the thread.
unc status,He muttered unc status when he thought I could not hear him.
unc status,She texted wow unc status and then unsent it.
unc status,Someone behind me said unc status after I answered.
unc status,The note on my desk just said unc status.
unc status,He laughed and called his teammate unc status after the miss.
unc,He muttered unc when he thought I could not hear him.
unc,She texted wow unc and then unsent it.
unc,Someone behind me said unc after I answered.
unc,The note on my desk just said unc.
unc,He laughed and called his teammate unc after the miss.
auntie behavior,He muttered auntie behavior when he thought I could not hear him.
auntie behavior,She texted wow auntie behavior and then unsent it.
auntie behavior,Someone behind me said auntie behavior after I answered.
auntie behavior,The note on my desk just said auntie behavior.
auntie behavior,He laughed and called his teammate auntie behavior after the miss.
fed,He muttered fed when he thought I could not hear him.
fed,She texted wow fed and then unsent it.
fed,Someone behind me said fed after I answered.
fed,The note on my desk just said fed.
fed,He laughed and called his teammate fed after the miss.
snitch,He muttered snitch when he thought I could not hear him.
snitch,She texted wow snitch and then unsent it.
